mid,msg_cnt,msg_unique,avg_msg_len,is_paying_user,level,is_default_face,is_nft_face,is_annual_vip,is_senior,has_nameplate,has_pendant,has_medal,has_sign,is_default_name,pub_videos,fans,Group
3546842419694266,1,1.0,7.0,0,4,0,0,0,0,0,0,0,1,0,1,4,fanshi
1609432369,3,0.6666666666666666,4.333333333333333,0,5,0,0,0,0,0,0,0,1,0,17,75,fanshi
32840018,1,1.0,18.0,0,6,0,0,0,0,0,0,1,1,0,11,35,fanshi
559691264,0,1.0,0.0,1,2,0,0,0,0,0,0,1,0,0,0,0,fanshi
652043635,5,1.0,4.2,0,5,0,0,0,0,0,0,1,0,0,1,8,fanshi
1133052558,4,1.0,5.75,0,5,0,0,0,0,0,1,1,1,0,11,125,fanshi
3546658153433394,2,1.0,4.5,0,4,1,0,0,0,0,0,0,1,0,0,4,fanshi
20340385,1,1.0,4.0,0,6,0,0,1,0,0,1,1,1,0,4,44,fanshi
634883096,5,1.0,4.4,0,6,0,0,0,0,1,0,1,1,0,9,30,fanshi
397185912,1,1.0,3.0,0,5,0,0,1,0,0,1,0,1,0,0,52,fanshi
46060838,1,1.0,76.0,0,6,0,0,0,0,0,0,0,0,0,0,5,fanshi
1888127,2,1.0,3.0,0,6,0,0,0,0,0,0,0,0,0,1,0,fanshi
352319252,0,1.0,0.0,1,6,0,0,1,0,0,1,1,0,0,20,114,fanshi
28971293,1,1.0,8.0,0,6,0,0,0,0,0,0,1,0,0,0,14,fanshi
1329264181,4,1.0,4.75,0,5,0,0,0,0,0,0,0,1,0,1,23,fanshi
2115563316,2,1.0,5.5,0,5,0,0,0,0,1,0,0,0,0,0,19,fanshi
38174810,3,0.3333333333333333,1.0,0,6,0,0,1,0,1,1,0,1,0,12,16,fanshi
52061244,1,1.0,76.0,0,6,0,0,0,0,1,0,0,1,0,0,32,fanshi
1590167518,3,0.6666666666666666,1.6666666666666667,0,5,0,0,0,0,1,1,1,1,0,1,32,fanshi
35061001,10,0.9,4.7,0,6,0,0,0,0,1,0,1,0,0,0,11,fanshi
3646722,4,0.75,2.25,0,6,0,0,0,0,0,0,0,0,0,0,8,fanshi
286715648,2,1.0,2.0,0,6,0,0,0,0,1,0,1,0,0,1,7,fanshi
520674831,3,1.0,5.333333333333333,0,6,0,0,1,1,0,0,1,1,0,0,27,fanshi
17013146,0,1.0,0.0,1,6,0,1,1,0,1,1,1,1,0,6,3,fanshi
351230042,3,1.0,5.333333333333333,0,6,0,1,1,1,0,0,1,1,0,42,169,fanshi
2018713038,2,1.0,2.0,0,5,0,0,0,0,1,1,1,0,0,1,27,fanshi
