mid,msg_cnt,msg_unique,avg_msg_len,is_paying_user,level,is_default_face,is_nft_face,is_annual_vip,is_senior,has_nameplate,has_pendant,has_medal,has_sign,is_default_name,pub_videos,fans,Group
345916687,0,1.0,0.0,1,6,0,0,0,0,0,0,1,1,0,12,57,nailv
11552545,61,0.9836065573770492,5.950819672131147,1,5,0,0,0,0,0,0,0,0,0,0,7,nailv
3546811373455428,225,0.88,6.208888888888889,0,3,0,0,0,0,0,0,1,1,0,0,8,nailv
77601306,4,1.0,42.25,0,6,0,0,0,0,0,0,1,1,0,0,29,nailv
4520480,1,1.0,76.0,0,6,0,0,0,0,1,0,0,1,0,5,15,nailv
24078868,79,0.9113924050632911,7.430379746835443,0,6,0,0,1,0,0,0,1,1,0,0,11,nailv
5613959,44,0.9318181818181818,5.954545454545454,0,6,0,0,0,0,1,0,1,1,0,20,11,nailv
44736410,2,1.0,3.5,0,6,0,0,1,0,1,0,1,0,0,0,198,nailv
3546795076487820,3,1.0,15.333333333333334,0,4,0,0,0,0,0,0,0,0,0,0,3,nailv
195596687,0,1.0,0.0,1,6,0,0,1,0,1,1,1,1,0,4,21,nailv
375996855,20,0.95,7.5,0,6,0,0,0,0,0,1,1,1,0,9,24,nailv
7137057,176,0.9090909090909091,5.943181818181818,1,6,0,0,1,0,0,0,1,1,0,1,6,nailv
8081726,3,1.0,28.0,0,6,0,0,0,0,1,1,1,1,0,0,7,nailv
3690976870664974,6,1.0,30.333333333333332,0,2,0,1,0,0,1,0,0,0,0,1,2,nailv
2723527,18,1.0,4.833333333333333,0,6,0,0,1,0,1,0,1,1,0,5,106,nailv
1896828089,31,0.6451612903225806,22.838709677419356,0,5,0,0,0,0,0,0,0,0,0,0,1,nailv
170631170,13,0.9230769230769231,5.461538461538462,0,6,0,0,1,0,1,0,0,1,0,1,50,nailv
152715,1,1.0,77.0,0,6,0,0,1,1,1,1,0,0,0,1,610,nailv
8256415,6,1.0,4.166666666666667,0,6,0,0,0,0,1,1,1,1,0,9,51,nailv
505981499,9,0.3333333333333333,60.77777777777778,0,5,0,0,0,0,1,0,1,0,0,0,56,nailv
3834391,4,1.0,3.0,0,6,0,0,0,0,1,0,1,1,0,0,0,nailv
502974336,47,0.8723404255319149,7.787234042553192,1,6,0,0,1,0,1,1,1,1,0,4,5,nailv
32439869,15,1.0,14.466666666666667,0,6,0,0,0,0,0,0,0,0,0,1,110,nailv
445257,3,1.0,28.333333333333332,0,6,0,0,1,0,1,1,1,1,0,5,2,nailv
4276327,17,0.8823529411764706,6.117647058823529,0,6,0,0,0,0,0,0,1,0,0,0,15,nailv
220450608,33,0.9393939393939394,14.272727272727273,1,6,0,0,1,0,0,0,0,0,0,0,25,nailv
295195510,3,0.6666666666666666,26.0,1,6,0,0,0,0,0,0,1,1,0,2,10,nailv
1827761323,0,1.0,0.0,1,5,0,0,1,0,1,0,1,1,0,48,128,nailv
233172,82,0.975609756097561,10.890243902439025,0,6,0,1,1,0,1,0,0,1,0,4,15,nailv
270511559,2,1.0,2.0,1,6,0,0,0,0,1,1,1,0,0,0,93,nailv
1289417,1,1.0,5.0,0,6,0,0,1,0,1,0,1,1,0,50,330,nailv
25725239,66,0.9848484848484849,17.166666666666668,0,6,0,0,1,0,0,0,0,0,0,5,66,nailv
3546693670799482,1,1.0,5.0,0,4,0,0,0,0,0,0,0,0,0,0,0,nailv
23333738,11,0.9090909090909091,5.363636363636363,0,6,0,1,1,0,1,0,1,1,0,0,2,nailv
1819491,2,1.0,5.5,0,6,0,0,0,0,0,0,1,1,0,4,74,nailv
2763,71,0.2112676056338028,8.971830985915492,1,6,0,0,1,0,0,0,0,1,0,124,5907,nailv
437633441,24,0.75,8.5,0,6,0,1,1,0,1,0,0,1,0,25,42,nailv
