mid,msg_cnt,msg_unique,avg_msg_len,is_paying_user,level,is_default_face,is_nft_face,is_annual_vip,is_senior,has_nameplate,has_pendant,has_medal,has_sign,is_default_name,pub_videos,fans,Group
3546915788556755,1,1.0,4.0,0,4,0,0,0,0,0,0,1,0,0,0,0,yingyueyue
358361749,1,1.0,4.0,0,4,0,0,0,0,0,0,1,0,0,0,3,yingyueyue
495437262,1,1.0,4.0,0,5,0,0,0,0,0,0,0,0,0,8,4,yingyueyue
1662086967,1,1.0,7.0,0,4,0,0,0,0,0,0,0,0,0,6,4,yingyueyue
1913682924,1,1.0,7.0,0,5,0,0,1,0,0,1,1,1,0,8,35,yingyueyue
67213676,1,1.0,24.0,0,6,0,0,1,0,1,0,1,0,0,4,93,yingyueyue
1880389621,1,1.0,4.0,0,4,0,0,0,0,0,0,0,1,0,0,14,yingyueyue
3546948267150236,2,0.5,5.0,0,3,0,0,0,0,0,0,1,1,0,18,11,yingyueyue
1239123041,2,1.0,4.5,0,5,0,0,1,0,0,0,1,1,0,0,19,yingyueyue
1341534805,1,1.0,4.0,0,5,0,0,0,0,0,0,0,1,0,4,14,yingyueyue
628690508,1,1.0,76.0,0,5,0,0,0,0,1,0,1,1,0,2,22,yingyueyue
3546777751914608,1,1.0,4.0,0,3,0,0,0,0,0,0,0,0,0,1,0,yingyueyue
3493289518958904,1,1.0,4.0,0,4,0,0,0,0,0,0,0,1,0,0,4,yingyueyue
1354660581,1,1.0,21.0,0,5,0,0,0,0,1,0,1,0,0,11,80,yingyueyue
611630653,1,1.0,4.0,0,5,0,0,0,0,0,0,0,0,0,0,16,yingyueyue
1545849557,4,1.0,23.0,1,5,0,0,0,0,1,0,1,1,0,0,30,yingyueyue
1618493555,1,1.0,4.0,0,4,0,0,0,0,0,0,0,0,0,1,375,yingyueyue
436168264,2,0.5,4.0,1,6,0,0,0,0,1,0,1,1,0,45,1783,yingyueyue
1583662436,0,1.0,0.0,1,3,0,0,0,0,0,0,1,0,0,0,4,yingyueyue
499103773,3,1.0,5.333333333333333,0,5,0,0,0,0,0,0,0,1,0,0,0,yingyueyue
477980065,1,1.0,7.0,0,5,0,0,1,0,1,0,1,1,0,45,70,yingyueyue
562270448,1,1.0,7.0,0,6,0,0,0,0,0,0,0,1,0,41,88,yingyueyue
651064648,2,1.0,9.5,0,4,0,0,0,0,1,0,1,1,0,0,6,yingyueyue
357596794,6,1.0,20.5,1,6,0,1,1,0,1,1,1,1,0,802,62,yingyueyue
3493088517425789,1,1.0,17.0,0,5,0,0,0,0,1,1,1,1,0,2,41,yingyueyue
197806572,3,0.6666666666666666,4.333333333333333,1,6,0,0,1,0,0,0,0,0,0,2,17,yingyueyue
1099675794,1,1.0,40.0,0,4,0,0,0,0,0,0,0,0,0,2,10,yingyueyue
1301131635,1,1.0,4.0,0,5,0,0,0,0,0,0,0,0,0,0,0,yingyueyue
2020245535,1,1.0,6.0,0,5,0,0,0,0,0,0,1,0,0,0,8,yingyueyue
3546752510593653,0,1.0,0.0,1,4,0,0,1,0,1,1,0,1,0,0,5,yingyueyue
356561566,1,1.0,4.0,0,5,0,0,0,0,0,0,0,0,0,0,14,yingyueyue
1531264486,37,0.972972972972973,21.83783783783784,1,5,0,0,0,0,1,0,1,0,0,2,5,yingyueyue
3546621914646651,0,1.0,0.0,1,4,0,0,1,0,0,1,1,1,0,1,2,yingyueyue
3690987153000612,1,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,yingyueyue
3493139197200757,1,1.0,4.0,0,2,0,0,0,0,0,0,0,1,0,0,0,yingyueyue
3690972420508398,1,1.0,5.0,0,3,0,0,0,0,0,0,0,1,0,10,5,yingyueyue
3493114297715490,4,0.75,5.75,0,2,1,0,0,0,0,0,0,0,0,0,0,yingyueyue
1172975408,1,1.0,4.0,1,4,0,0,0,0,1,0,1,0,0,0,0,yingyueyue
1678078137,1,1.0,76.0,0,3,0,0,0,0,0,0,0,1,0,0,4,yingyueyue
2085048085,1,1.0,4.0,0,3,0,0,0,0,0,0,1,0,0,1,2,yingyueyue
1074454228,1,1.0,4.0,0,5,1,0,0,0,1,0,1,0,0,0,80,yingyueyue
695505698,0,1.0,0.0,1,4,1,0,1,0,0,0,1,0,0,0,4,yingyueyue
1796831,3,1.0,10.666666666666666,0,6,0,0,1,0,0,0,1,0,0,0,15,yingyueyue
449662903,2,0.5,4.0,0,6,0,0,1,0,0,1,1,1,0,5,23,yingyueyue
3546898906483584,1,1.0,4.0,0,2,0,0,0,0,0,0,0,0,0,0,0,yingyueyue
3632311448897746,1,1.0,4.0,0,3,0,0,0,0,0,0,1,0,0,0,4,yingyueyue
589626514,0,1.0,0.0,1,5,0,0,0,0,1,0,1,0,0,0,0,yingyueyue
3546734311508029,1,1.0,4.0,0,4,0,0,0,0,0,0,0,0,0,3,2,yingyueyue
483311477,7,1.0,30.428571428571427,0,5,0,0,0,0,0,0,0,0,0,0,11,yingyueyue
2018661085,1,1.0,7.0,0,5,0,0,0,0,0,0,0,1,0,5,28,yingyueyue
3546909589375493,1,1.0,76.0,0,3,0,0,0,0,0,0,0,0,0,0,3,yingyueyue
1848607852,2,1.0,41.0,0,4,0,0,0,0,0,1,0,0,0,0,4,yingyueyue
3546921595570952,2,0.5,4.0,0,3,0,0,0,0,0,0,1,0,0,1,5,yingyueyue
